Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr6,27876684,28044754,168071,700,-0.202,0.747,0.499,0.505,hypo,Block:5519
chr6,28065613,28072407,6795,36,-0.082,0.56,0.487,0.453,hypo,Block:5520
chr6,28072991,28090375,17385,67,-0.097,0.498,0.507,0.561,hypo,Block:5521
chr6,28126570,28171326,44757,230,-0.172,0.767,0.563,0.569,hypo,Block:5522
chr6,28249612,28298885,49274,246,-0.106,0.789,0.503,0.506,hypo,Block:5523
chr6,28367680,28408449,40770,219,-0.178,0.718,0.493,0.497,hypo,Block:5524
chr6,28412139,28446100,33962,188,-0.116,0.594,0.481,0.48,hypo,Block:5525
chr6,28457990,28504154,46165,279,-0.169,0.673,0.501,0.512,hypo,Block:5526
chr6,28517288,28546220,28933,153,-0.155,0.633,0.447,0.47,hypo,Block:5527
chr6,28567950,28579155,11206,67,-0.108,0.548,0.539,0.529,hypo,Block:5528
chr6,28620671,28626917,6247,74,-0.058,0.442,0.49,0.436,hypo,Block:5529
chr6,28673207,28693944,20738,155,-0.092,0.614,0.494,0.488,hypo,Block:5530
chr6,28699435,28705528,6094,92,0.067,0.396,0.507,0.514,hyper,Block:5531
chr6,28715500,28731040,15541,134,-0.123,0.665,0.471,0.434,hypo,Block:5532
chr6,28736194,28753834,17641,246,0.1,0.369,0.503,0.51,hyper,Block:5533
chr6,28775679,28781801,6123,97,0.119,0.315,0.533,0.559,hyper,Block:5534
chr6,28782336,28797508,15173,149,0.119,0.369,0.62,0.599,hyper,Block:5535
chr6,28806965,28813524,6560,32,-0.071,0.363,0.315,0.301,hypo,Block:5536
chr6,28821298,28831653,10356,103,-0.145,0.603,0.517,0.507,hypo,Block:5537
chr6,28832160,28845976,13817,143,-0.095,0.546,0.462,0.484,hypo,Block:5538
chr6,28867211,28873014,5804,50,-0.059,0.763,0.523,0.504,hypo,Block:5539
chr6,28892418,28898907,6490,43,-0.068,0.375,0.499,0.506,hypo,Block:5540
chr6,28908810,28913947,5138,87,-0.053,0.312,0.554,0.513,hypo,Block:5541
chr6,28919895,28930867,10973,108,-0.07,0.498,0.468,0.459,hypo,Block:5542
chr6,28985801,29506387,520587,2230,-0.237,0.733,0.486,0.485,hypo,Block:5543
chr6,29511837,29521076,9240,54,0.097,0.504,0.487,0.463,hyper,Block:5544
chr6,29521855,29531123,9269,68,0.09,0.562,0.44,0.435,hyper,Block:5545
chr6,29548146,29592854,44709,313,-0.143,0.793,0.467,0.482,hypo,Block:5546
chr6,29603581,29617613,14033,86,-0.079,0.475,0.463,0.485,hypo,Block:5547
chr6,29618021,29689809,71789,486,-0.139,0.651,0.514,0.497,hypo,Block:5548
chr6,29692111,29705030,12920,71,-0.109,0.555,0.478,0.457,hypo,Block:5549
chr6,29723279,29746286,23008,133,-0.156,0.625,0.537,0.496,hypo,Block:5550
chr6,29752615,29759917,7303,31,0.095,0.406,0.515,0.523,hyper,Block:5551
chr6,29770613,29789434,18822,110,-0.1,0.691,0.44,0.469,hypo,Block:5552
chr6,29822572,29843441,20870,123,-0.086,0.626,0.51,0.474,hypo,Block:5553
chr6,29856617,29864464,7848,31,-0.051,0.581,0.517,0.487,hypo,Block:5554
chr6,29989120,29995905,6786,21,0.047,0.81,0.463,0.358,hyper,Block:5555
chr6,30047402,30061933,14532,51,-0.138,0.617,0.538,0.539,hypo,Block:5556
chr6,30071496,30093531,22036,158,-0.119,0.526,0.536,0.521,hypo,Block:5557
chr6,30169768,30177295,7528,49,-0.077,0.535,0.493,0.5,hypo,Block:5558
chr6,30187572,30227294,39723,143,-0.161,0.623,0.464,0.477,hypo,Block:5559
chr6,30228284,30241691,13408,79,-0.069,0.664,0.494,0.486,hypo,Block:5560
chr6,30303126,30308712,5587,43,-0.056,0.786,0.499,0.562,hypo,Block:5561
chr6,30331604,30410623,79020,393,-0.186,0.642,0.543,0.537,hypo,Block:5562
chr6,30419681,30426145,6465,93,0.056,0.322,0.514,0.546,hyper,Block:5563
chr6,30655456,30662600,7145,104,0.059,0.299,0.502,0.52,hyper,Block:5564
chr6,30677746,30683207,5462,43,0.097,0.558,0.388,0.355,hyper,Block:5565
chr6,30693820,30698987,5168,47,0.06,0.42,0.496,0.493,hyper,Block:5566
chr6,30715356,30743413,28058,189,-0.113,0.666,0.489,0.48,hypo,Block:5567
chr6,30782728,30799443,16716,109,-0.058,0.677,0.491,0.48,hypo,Block:5568
chr6,30811580,30844592,33013,174,-0.081,0.734,0.481,0.477,hypo,Block:5569
chr6,30904369,30923128,18760,176,-0.103,0.595,0.465,0.45,hypo,Block:5570
chr6,30923672,31047687,124016,934,-0.194,0.702,0.483,0.476,hypo,Block:5571
chr6,31061299,31078898,17600,93,-0.094,0.724,0.484,0.494,hypo,Block:5572
chr6,31099572,31109850,10279,131,-0.069,0.724,0.456,0.503,hypo,Block:5573
chr6,31165947,31173115,7169,54,-0.058,0.463,0.499,0.524,hypo,Block:5574
chr6,31192462,31238803,46342,177,-0.099,0.649,0.506,0.489,hypo,Block:5575
chr6,31240424,31276212,35789,215,-0.142,0.61,0.471,0.477,hypo,Block:5576
chr6,31296439,31323901,27463,162,-0.145,0.544,0.564,0.553,hypo,Block:5577
chr6,31325427,31353256,27830,186,-0.098,0.573,0.527,0.51,hypo,Block:5578
chr6,31379358,31429285,49928,227,-0.12,0.647,0.561,0.564,hypo,Block:5579
chr6,31482903,31492099,9197,41,-0.073,0.863,0.493,0.444,hypo,Block:5580
chr6,31534141,31545342,11202,124,-0.098,0.562,0.484,0.495,hypo,Block:5581
chr6,31552277,31587543,35267,228,-0.094,0.567,0.476,0.486,hypo,Block:5582
chr6,31662457,31669075,6619,32,-0.066,0.678,0.539,0.476,hypo,Block:5583
chr6,31677607,31688229,10623,106,-0.114,0.737,0.494,0.506,hypo,Block:5584
chr6,31714523,31722291,7769,59,0.063,0.812,0.485,0.481,hyper,Block:5585
chr6,31731038,31736447,5410,87,0.059,0.716,0.567,0.536,hyper,Block:5586
chr6,31740787,31746207,5421,102,-0.068,0.782,0.498,0.528,hypo,Block:5587
chr6,31766128,31774435,8308,58,0.083,0.293,0.415,0.415,hyper,Block:5588
chr6,31774911,31780390,5480,51,0.059,0.412,0.514,0.476,hyper,Block:5589
chr6,31788525,31793813,5289,76,-0.059,0.212,0.471,0.507,hypo,Block:5590
chr6,31802846,31808492,5647,64,-0.071,0.353,0.587,0.546,hypo,Block:5591
chr6,31819272,31826490,7219,44,-0.064,0.821,0.513,0.522,hypo,Block:5592
chr6,31854251,31860548,6298,127,0.06,0.765,0.541,0.501,hyper,Block:5593
chr6,31870425,31875440,5016,38,0.058,0.283,0.403,0.46,hyper,Block:5594
chr6,31883640,31889648,6009,33,-0.05,0.778,0.536,0.554,hypo,Block:5595
chr6,31907795,31917094,9300,137,-0.056,0.77,0.445,0.453,hypo,Block:5596
chr6,31963843,31981001,17159,31,-0.127,0.819,0.452,0.453,hypo,Block:5597
chr6,31992044,32055046,63003,570,-0.213,0.756,0.493,0.486,hypo,Block:5598
chr6,32082269,32088563,6295,76,0.065,0.602,0.486,0.484,hyper,Block:5599
chr6,32166206,32404284,238079,1202,-0.247,0.712,0.522,0.523,hypo,Block:5600
chr6,32426535,32473502,46968,178,-0.147,0.703,0.471,0.51,hypo,Block:5601
chr6,32651363,32778321,126959,654,-0.202,0.645,0.491,0.495,hypo,Block:5602
chr6,32883363,32902818,19456,64,-0.078,0.738,0.417,0.431,hypo,Block:5603
chr6,32923680,32929570,5891,24,-0.076,0.646,0.351,0.369,hypo,Block:5604
chr6,32955321,33037444,82124,467,-0.196,0.725,0.548,0.532,hypo,Block:5605
chr6,33047185,33084624,37440,282,-0.13,0.702,0.516,0.529,hypo,Block:5606
chr6,33085040,33129251,44212,287,-0.171,0.63,0.501,0.497,hypo,Block:5607
chr6,33129765,33158597,28833,372,-0.217,0.656,0.502,0.495,hypo,Block:5608
chr6,33181389,33211751,30363,193,-0.114,0.578,0.496,0.509,hypo,Block:5609
chr6,33223889,33235224,11336,86,-0.082,0.878,0.491,0.492,hypo,Block:5610
chr6,33250308,33256488,6181,70,0.073,0.463,0.435,0.452,hyper,Block:5611
chr6,33293171,33350468,57298,284,-0.118,0.756,0.524,0.511,hypo,Block:5612
chr6,33365368,33370792,5425,16,0.072,0.577,0.435,0.503,hyper,Block:5613
chr6,33426366,33523526,97161,561,-0.147,0.776,0.482,0.489,hypo,Block:5614
chr6,33566008,33574659,8652,48,-0.062,0.751,0.507,0.506,hypo,Block:5615
chr6,33681788,33714907,33120,474,-0.099,0.742,0.501,0.504,hypo,Block:5616
chr6,33724284,33738146,13863,186,-0.094,0.683,0.479,0.507,hypo,Block:5617
chr6,33761282,33847630,86349,1101,-0.132,0.698,0.503,0.502,hypo,Block:5618
chr6,33856591,33932812,76222,946,-0.104,0.798,0.504,0.508,hypo,Block:5619
chr6,33938362,33943538,5177,35,0.087,0.527,0.4,0.479,hyper,Block:5620
chr6,33944093,33953646,9554,157,0.094,0.508,0.493,0.491,hyper,Block:5621
chr6,33962367,34108563,146197,2199,-0.197,0.696,0.476,0.477,hypo,Block:5622
chr6,34122992,34164098,41107,295,-0.155,0.66,0.49,0.463,hypo,Block:5623
chr6,34164564,34188866,24303,187,-0.16,0.735,0.521,0.535,hypo,Block:5624
chr6,34217582,34241805,24224,133,-0.075,0.748,0.463,0.446,hypo,Block:5625
chr6,34395138,34433392,38255,265,-0.127,0.676,0.505,0.486,hypo,Block:5626
chr6,34434573,34494988,60416,588,-0.195,0.748,0.515,0.507,hypo,Block:5627
chr6,34524055,34545290,21236,306,-0.115,0.684,0.486,0.481,hypo,Block:5628
chr6,34669100,34711224,42125,207,-0.099,0.731,0.452,0.486,hypo,Block:5629
chr6,34725342,34743007,17666,95,0.087,0.614,0.595,0.622,hyper,Block:5630
chr6,34866558,34877126,10569,53,-0.061,0.834,0.596,0.597,hypo,Block:5631
chr6,35011177,35016975,5799,68,0.053,0.679,0.602,0.579,hyper,Block:5632
chr6,35073022,35103532,30511,139,-0.096,0.823,0.432,0.442,hypo,Block:5633
chr6,35119388,35148208,28821,172,-0.08,0.719,0.524,0.519,hypo,Block:5634
chr6,35150199,35175677,25479,180,-0.073,0.691,0.507,0.508,hypo,Block:5635
chr6,35196350,35214490,18141,173,-0.064,0.863,0.473,0.511,hypo,Block:5636
chr6,35294938,35309456,14519,35,-0.096,0.573,0.561,0.574,hypo,Block:5637
chr6,35314166,35328272,14107,91,0.077,0.691,0.53,0.549,hyper,Block:5638
chr6,35353515,35367578,14064,116,-0.058,0.831,0.579,0.56,hypo,Block:5639
chr6,35422080,35432921,10842,65,0.069,0.331,0.511,0.526,hyper,Block:5640
chr6,35439252,35445338,6087,85,0.062,0.496,0.478,0.507,hyper,Block:5641
chr6,35473231,35543048,69818,563,-0.152,0.699,0.526,0.518,hypo,Block:5642
chr6,35634038,35650654,16617,66,0.087,0.508,0.459,0.407,hyper,Block:5643
chr6,35662615,35682216,19602,79,-0.106,0.891,0.443,0.44,hypo,Block:5644
chr6,35706685,35744188,37504,292,-0.112,0.703,0.482,0.492,hypo,Block:5645
chr6,35744589,35772890,28302,253,-0.142,0.636,0.506,0.539,hypo,Block:5646
chr6,35773223,35805128,31906,188,-0.122,0.771,0.476,0.486,hypo,Block:5647
chr6,35976274,35987961,11688,59,0.064,0.662,0.486,0.471,hyper,Block:5648
chr6,36014589,36041985,27397,112,-0.076,0.831,0.535,0.596,hypo,Block:5649
chr6,36088826,36096269,7444,76,-0.063,0.497,0.475,0.483,hypo,Block:5650
chr6,36173445,36179190,5746,47,0.058,0.717,0.569,0.549,hyper,Block:5651
chr6,36213286,36259218,45933,430,-0.101,0.761,0.5,0.503,hypo,Block:5652
chr6,36299685,36318700,19016,231,-0.094,0.607,0.484,0.471,hypo,Block:5653
chr6,36342090,36350049,7960,94,0.077,0.699,0.479,0.465,hyper,Block:5654
chr6,36370605,36390970,20366,76,-0.109,0.644,0.456,0.483,hypo,Block:5655
chr6,36416274,36432295,16022,64,0.086,0.63,0.616,0.622,hyper,Block:5656
chr6,36461348,36497389,36042,216,-0.095,0.871,0.485,0.471,hypo,Block:5657
chr6,36538834,36552051,13218,65,-0.075,0.749,0.502,0.481,hypo,Block:5658
chr6,36567590,36573449,5860,46,0.068,0.385,0.518,0.531,hyper,Block:5659
chr6,36635044,36641184,6141,55,0.07,0.518,0.528,0.484,hyper,Block:5660
chr6,36673451,36686525,13075,118,-0.053,0.823,0.521,0.533,hypo,Block:5661
chr6,36709470,36802621,93152,1098,-0.149,0.741,0.484,0.478,hypo,Block:5662
chr6,36842865,36853555,10691,61,-0.139,0.46,0.506,0.513,hypo,Block:5663
chr6,36897641,36932349,34709,356,-0.1,0.791,0.503,0.49,hypo,Block:5664
chr6,36957220,37013449,56230,592,-0.108,0.75,0.513,0.493,hypo,Block:5665
chr6,37020377,37066277,45901,415,-0.128,0.796,0.483,0.487,hypo,Block:5666
chr6,37073379,37099554,26176,213,-0.095,0.736,0.465,0.488,hypo,Block:5667
chr6,37113500,37121708,8209,45,-0.061,0.782,0.499,0.512,hypo,Block:5668
chr6,37174616,37205238,30623,211,-0.078,0.689,0.493,0.522,hypo,Block:5669
chr6,37361760,37397497,35738,154,-0.132,0.747,0.569,0.556,hypo,Block:5670
chr6,37467867,37503460,35594,418,-0.191,0.61,0.513,0.517,hypo,Block:5671
chr6,37504332,37660733,156402,1891,-0.205,0.688,0.492,0.499,hypo,Block:5672
chr6,37673837,37786647,112811,936,-0.177,0.68,0.495,0.498,hypo,Block:5673
chr6,37788137,37795639,7503,67,-0.057,0.427,0.622,0.598,hypo,Block:5674
chr6,38152098,38180047,27950,258,-0.072,0.889,0.507,0.488,hypo,Block:5675
chr6,38191333,38548689,357357,1659,-0.106,0.881,0.46,0.454,hypo,Block:5676
chr6,38612686,38647207,34522,172,-0.135,0.783,0.544,0.539,hypo,Block:5677
chr6,38682507,39016274,333768,1889,-0.254,0.752,0.524,0.533,hypo,Block:5678
chr6,39017040,39062934,45895,473,-0.244,0.674,0.528,0.514,hypo,Block:5679
chr6,39083143,39132668,49526,280,-0.129,0.626,0.514,0.515,hypo,Block:5680
chr6,39186862,39196738,9877,122,-0.085,0.451,0.444,0.477,hypo,Block:5681
chr6,39217349,39230917,13569,74,-0.099,0.809,0.5,0.482,hypo,Block:5682
chr6,39282277,39692702,410426,2290,-0.291,0.747,0.497,0.49,hypo,Block:5683
chr6,39692986,39759976,66991,351,-0.209,0.639,0.509,0.515,hypo,Block:5684
chr6,39760484,39901831,141348,1258,-0.227,0.722,0.5,0.517,hypo,Block:5685
chr6,39902322,40554555,652234,4065,-0.235,0.735,0.502,0.506,hypo,Block:5686
chr6,40555978,40971056,415079,2804,-0.228,0.732,0.504,0.501,hypo,Block:5687
chr6,40984554,40995763,11210,72,0.066,0.649,0.49,0.481,hyper,Block:5688
chr6,41007626,41015478,7853,53,-0.063,0.85,0.516,0.527,hypo,Block:5689
chr6,41071022,41332672,261651,1565,-0.249,0.748,0.495,0.494,hypo,Block:5690
chr6,41351320,41384872,33553,334,-0.177,0.797,0.485,0.502,hypo,Block:5691
chr6,41501237,41511788,10552,81,-0.108,0.481,0.544,0.54,hypo,Block:5692
chr6,41567963,41597317,29355,264,-0.144,0.711,0.507,0.506,hypo,Block:5693
chr6,41606691,41614759,8069,137,0.075,0.489,0.488,0.481,hyper,Block:5694
chr6,41620651,41650636,29986,365,-0.159,0.705,0.507,0.506,hypo,Block:5695
chr6,41682762,41690917,8156,60,0.06,0.692,0.425,0.423,hyper,Block:5696
chr6,41707052,41732115,25064,203,-0.085,0.75,0.519,0.498,hypo,Block:5697
chr6,41778904,41801049,22146,70,-0.053,0.88,0.411,0.427,hypo,Block:5698
chr6,41814556,41833159,18604,64,-0.052,0.926,0.451,0.477,hypo,Block:5699
chr6,41839838,41845022,5185,33,-0.047,0.863,0.526,0.495,hypo,Block:5700
chr6,41870007,41876502,6496,30,0.098,0.713,0.464,0.412,hyper,Block:5701
chr6,41881826,41887954,6129,44,-0.094,0.567,0.385,0.401,hypo,Block:5702
chr6,41892731,41897769,5039,31,0.069,0.528,0.589,0.528,hyper,Block:5703
chr6,41913267,41963773,50507,263,-0.111,0.796,0.445,0.463,hypo,Block:5704
chr6,42052023,42066504,14482,121,-0.102,0.792,0.496,0.509,hypo,Block:5705
chr6,42101065,42109858,8794,109,-0.083,0.55,0.455,0.45,hypo,Block:5706
chr6,42110396,42120083,9688,85,-0.085,0.474,0.5,0.504,hypo,Block:5707
chr6,42129405,42139194,9790,89,-0.059,0.712,0.488,0.494,hypo,Block:5708
chr6,42173627,42206535,32909,267,-0.091,0.65,0.458,0.48,hypo,Block:5709
chr6,42228065,42239297,11233,129,-0.059,0.855,0.498,0.512,hypo,Block:5710
chr6,42271955,42403844,131890,1082,-0.097,0.827,0.458,0.452,hypo,Block:5711
chr6,42423844,42515131,91288,407,-0.17,0.77,0.505,0.495,hypo,Block:5712
chr6,42662575,42692422,29848,290,-0.134,0.775,0.499,0.477,hypo,Block:5713
chr6,42701902,42710083,8182,25,-0.098,0.509,0.462,0.525,hypo,Block:5714
chr6,42864061,42879234,15174,110,-0.099,0.606,0.572,0.555,hypo,Block:5715
chr6,42879654,42886769,7116,48,-0.094,0.664,0.564,0.556,hypo,Block:5716
chr6,42899750,42907785,8036,80,0.085,0.664,0.557,0.548,hyper,Block:5717
chr6,42955008,42962595,7588,50,-0.078,0.736,0.555,0.558,hypo,Block:5718
chr6,43029741,43038566,8826,66,0.065,0.416,0.521,0.518,hyper,Block:5719
chr6,43095779,43124622,28844,290,-0.066,0.766,0.531,0.536,hypo,Block:5720
chr6,43198254,43206892,8639,51,-0.052,0.409,0.558,0.508,hypo,Block:5721
chr6,43220488,43232554,12067,215,-0.092,0.713,0.538,0.535,hypo,Block:5722
chr6,43366737,43395169,28433,139,-0.116,0.623,0.504,0.482,hypo,Block:5723
chr6,43395931,43401104,5174,56,-0.064,0.609,0.569,0.565,hypo,Block:5724
chr6,43427616,43440326,12711,67,-0.127,0.573,0.474,0.482,hypo,Block:5725
chr6,43449860,43469390,19531,190,-0.061,0.814,0.533,0.532,hypo,Block:5726
chr6,43487519,43497008,9490,85,-0.061,0.76,0.525,0.524,hypo,Block:5727
chr6,43546105,43556976,10872,61,-0.079,0.752,0.634,0.652,hypo,Block:5728
chr6,43620544,43633155,12612,60,-0.092,0.738,0.522,0.493,hypo,Block:5729
chr6,43641030,43649852,8823,107,0.056,0.621,0.493,0.499,hyper,Block:5730
chr6,43670147,43708233,38087,343,-0.085,0.706,0.487,0.509,hypo,Block:5731
chr6,43724184,43735133,10950,96,-0.091,0.608,0.524,0.517,hypo,Block:5732
chr6,43741027,43749580,8554,140,-0.08,0.592,0.524,0.52,hypo,Block:5733
chr6,43769396,43782358,12963,129,-0.076,0.626,0.553,0.541,hypo,Block:5734
chr6,43871832,43885741,13910,122,0.062,0.726,0.511,0.511,hyper,Block:5735
chr6,43911256,43925054,13799,103,0.056,0.804,0.48,0.452,hyper,Block:5736
chr6,43985097,44003884,18788,147,-0.075,0.795,0.51,0.516,hypo,Block:5737
chr6,44044202,44051281,7080,111,-0.066,0.507,0.501,0.439,hypo,Block:5738
chr6,44082635,44087664,5030,32,-0.064,0.682,0.456,0.431,hypo,Block:5739
chr6,44096255,44102400,6146,39,-0.064,0.513,0.506,0.503,hypo,Block:5740
chr6,44107364,44112741,5378,37,0.053,0.805,0.486,0.55,hyper,Block:5741
chr6,44123295,44165708,42414,368,-0.094,0.682,0.513,0.514,hypo,Block:5742
chr6,44175563,44180631,5069,30,-0.056,0.725,0.52,0.513,hypo,Block:5743
chr6,44243034,44264933,21900,374,-0.1,0.522,0.509,0.49,hypo,Block:5744
chr6,44270573,44277287,6715,94,0.076,0.634,0.51,0.488,hyper,Block:5745
chr6,44281218,44355135,73918,488,-0.165,0.612,0.532,0.533,hypo,Block:5746
chr6,44372968,44385133,12166,62,0.053,0.828,0.614,0.624,hyper,Block:5747
chr6,44419412,44715405,295994,2518,-0.244,0.773,0.519,0.52,hypo,Block:5748
chr6,44728229,45340038,611810,2283,-0.238,0.865,0.438,0.437,hypo,Block:5749
chr6,45347952,45383834,35883,160,-0.199,0.689,0.498,0.524,hypo,Block:5750
chr6,45409077,45629826,220750,1433,-0.129,0.811,0.515,0.525,hypo,Block:5751
chr6,45643069,45867679,224611,1404,-0.254,0.812,0.517,0.526,hypo,Block:5752
chr6,45930656,45974605,43950,201,-0.06,0.786,0.511,0.543,hypo,Block:5753
chr6,46129950,46458866,328917,1635,-0.159,0.76,0.484,0.491,hypo,Block:5754
chr6,46468618,46516116,47499,169,-0.086,0.712,0.514,0.487,hypo,Block:5755
chr6,46708815,46761211,52397,277,-0.077,0.731,0.514,0.511,hypo,Block:5756
chr6,46821624,46992341,170718,984,-0.115,0.78,0.488,0.486,hypo,Block:5757
chr6,47087309,47094658,7350,35,-0.048,0.73,0.549,0.612,hypo,Block:5758
chr6,47361667,47375071,13405,66,-0.063,0.711,0.517,0.547,hypo,Block:5759
chr6,47418396,47427942,9547,41,-0.058,0.745,0.537,0.497,hypo,Block:5760
chr6,47622047,47663754,41708,220,-0.063,0.765,0.539,0.547,hypo,Block:5761
chr6,47705753,48030011,324259,1469,-0.211,0.718,0.529,0.522,hypo,Block:5762
chr6,48055975,49413992,1358018,4592,-0.22,0.74,0.493,0.491,hypo,Block:5763
chr6,49462447,49498953,36507,200,-0.073,0.75,0.504,0.524,hypo,Block:5764
chr6,49549528,50669262,1119735,4116,-0.266,0.687,0.489,0.489,hypo,Block:5765
chr6,50672954,50682281,9328,165,0.126,0.215,0.485,0.52,hyper,Block:5766
chr6,50683302,50692099,8798,136,0.144,0.213,0.513,0.523,hyper,Block:5767
chr6,50696679,50777361,80683,299,-0.254,0.658,0.513,0.513,hypo,Block:5768
chr6,50791618,50800838,9221,87,0.099,0.148,0.512,0.538,hyper,Block:5769
chr6,50805187,50810618,5432,64,0.135,0.177,0.582,0.578,hyper,Block:5770
chr6,50824075,52126759,1302685,5380,-0.272,0.726,0.493,0.488,hypo,Block:5771
chr6,52155658,52174268,18611,120,0.075,0.631,0.488,0.484,hyper,Block:5772
chr6,52188609,52213551,24943,108,-0.081,0.797,0.494,0.517,hypo,Block:5773
chr6,52236711,52278126,41416,240,-0.08,0.751,0.521,0.545,hypo,Block:5774
chr6,52323758,52330000,6243,29,-0.049,0.935,0.561,0.595,hypo,Block:5775
chr6,52419708,52429655,9948,75,0.079,0.737,0.477,0.493,hyper,Block:5776
chr6,52466813,52526965,60153,284,-0.084,0.68,0.466,0.483,hypo,Block:5777
chr6,52540790,52842928,302139,1232,-0.125,0.784,0.52,0.519,hypo,Block:5778
chr6,52985055,53209771,224717,1273,-0.163,0.805,0.474,0.465,hypo,Block:5779
chr6,53224706,53360437,135732,640,-0.218,0.752,0.511,0.514,hypo,Block:5780
chr6,53392433,53402342,9910,66,0.093,0.687,0.441,0.446,hyper,Block:5781
chr6,53476754,53484791,8038,48,-0.049,0.732,0.523,0.532,hypo,Block:5782
chr6,53524181,53545195,21015,110,-0.069,0.772,0.515,0.527,hypo,Block:5783
chr6,53582413,53614554,32142,198,-0.06,0.636,0.502,0.519,hypo,Block:5784
chr6,53677859,53700840,22982,111,-0.069,0.786,0.538,0.562,hypo,Block:5785
chr6,53808789,54167929,359141,1474,-0.149,0.771,0.529,0.534,hypo,Block:5786
chr6,54250377,54573926,323550,1061,-0.228,0.765,0.513,0.511,hypo,Block:5787
chr6,54606155,54707202,101048,331,-0.094,0.762,0.536,0.531,hypo,Block:5788
chr6,54728702,54782659,53958,218,0.066,0.71,0.562,0.571,hyper,Block:5789
chr6,54856803,55039139,182337,601,-0.14,0.755,0.495,0.482,hypo,Block:5790
chr6,55039422,55443707,404286,1497,-0.279,0.708,0.505,0.5,hypo,Block:5791
chr6,55444153,55734034,289882,1061,-0.277,0.728,0.51,0.498,hypo,Block:5792
chr6,55764778,56112156,347379,1209,-0.283,0.727,0.449,0.448,hypo,Block:5793
chr6,56112484,56243532,131049,560,-0.146,0.691,0.466,0.46,hypo,Block:5794
chr6,56266783,56315598,48816,304,-0.11,0.802,0.494,0.477,hypo,Block:5795
chr6,56552344,56577693,25350,124,-0.064,0.74,0.449,0.434,hypo,Block:5796
chr6,56613890,56698336,84447,294,-0.099,0.723,0.407,0.413,hypo,Block:5797
chr6,56757410,56807626,50217,220,-0.141,0.694,0.451,0.449,hypo,Block:5798
chr6,56823499,56911139,87641,364,-0.196,0.731,0.499,0.507,hypo,Block:5799
chr6,56913137,56954711,41575,195,-0.103,0.779,0.531,0.52,hypo,Block:5800
chr6,56955549,56961399,5851,20,-0.082,0.668,0.749,0.729,hypo,Block:5801
chr6,57055366,57077011,21646,95,-0.064,0.809,0.46,0.438,hypo,Block:5802
chr6,57091211,57124969,33759,145,-0.075,0.742,0.532,0.52,hypo,Block:5803
chr6,57138323,57175834,37512,140,-0.05,0.631,0.506,0.523,hypo,Block:5804
chr6,57204190,58074957,870768,2504,-0.191,0.721,0.578,0.573,hypo,Block:5805
chr6,58158675,58205163,46489,71,-0.137,0.744,0.619,0.556,hypo,Block:5806
chr6,58216028,58237602,21575,20,-0.114,0.856,0.626,0.499,hypo,Block:5807
chr6,58288026,58780131,492106,1002,-0.214,0.763,0.581,0.585,hypo,Block:5808
chr6,61880472,62117334,236863,590,-0.236,0.696,0.5,0.499,hypo,Block:5809
chr6,62179113,62986222,807110,2712,-0.314,0.756,0.479,0.481,hypo,Block:5810
chr6,63015380,64282114,1266735,4702,-0.213,0.752,0.494,0.494,hypo,Block:5811
chr6,64308590,64343432,34843,187,-0.156,0.642,0.549,0.531,hypo,Block:5812
chr6,64353019,64359555,6537,29,0.062,0.488,0.555,0.639,hyper,Block:5813
chr6,64430413,64757672,327260,1163,-0.162,0.77,0.527,0.527,hypo,Block:5814
chr6,64781914,68135922,3354009,11651,-0.254,0.742,0.502,0.506,hypo,Block:5815
chr6,68160231,69341214,1180984,3974,-0.258,0.733,0.516,0.513,hypo,Block:5816
chr6,69345612,70390745,1045134,3926,-0.289,0.708,0.507,0.505,hypo,Block:5817
